,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
11,ZEPETO,당근마켓 - 우리 동네 중고 직거래 벼룩장터,Samsung Notes,SODA 소다 - Natural Beauty Camera,SODA 소다 - Natural Beauty Camera,배달의민족,배달요기요,LectureNotes,Word master 워드마스터 수능 2000(18개정),MX 플레이어 Pro,한컴오피스 한글,무음모드 (순정 무음카메라),스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티
12,Google Play 게임,스마트위택스,쿠팡 (Coupang),쿠팡 (Coupang),카카오뱅크 - 같지만 다른 은행,당근마켓 - 우리 동네 중고 직거래 벼룩장터,TikTok 틱톡,Samsung Smart Switch Mobile,V3 Mobile Plus 2.0,VG 기업용 SDK 2.0,Samsung Smart Switch Mobile,디지털 웰빙,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",아만다: 눈 높아도 괜찮은 프리미엄 소개팅,밀리의 서재 - 독서와 무제한 친해지리,밀리의 서재 - 독서와 무제한 친해지리,밀리의 서재 - 독서와 무제한 친해지리,랭킹스타
13,Instagram,SODA 소다 - Natural Beauty Camera,Samsung Smart Switch Mobile,"네이버 지도, 내비게이션",V3 Mobile Plus 2.0,쿠팡 (Coupang),Google Play 게임,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청","Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청","Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",하쿠나 라이브 -  Live 방송,밀리의 서재 - 독서와 무제한 친해지리,Tinder 새로운 친구를 발견해봐,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",탄탄 - 남사친이 필요할 때,탄탄 - 남사친이 필요할 때,탄탄 - 남사친이 필요할 때
14,V3 Mobile Plus 2.0,배달의민족,TikTok 틱톡,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",일기 예보 2020 - 실시간 날씨,일기 예보 2020 - 실시간 날씨,배달의민족,MarineTraffic ship positions,Moon+ Reader Pro,Puffin Browser Pro,WolframAlpha,nPlayer,라인 플레이 – 전세계 No.1 패션 게임,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",라인 플레이 – 전세계 No.1 패션 게임,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",V LIVE,V LIVE
15,롯데홈쇼핑 – 롯데 ON,Instagram,Intra,"미세미세 - 미세먼지, WHO기준, 알람, 위젯, 날씨, 지도",Netflix(넷플릭스),카카오뱅크 - 같지만 다른 은행,Wish - 쇼핑은 즐겁다,Wish - 쇼핑은 즐겁다,당근마켓 - 우리 동네 중고 직거래 벼룩장터,배달요기요,Instagram,에이블리 - 셀럽마켓 모음앱,Tinder 새로운 친구를 발견해봐,밀리의 서재 - 독서와 무제한 친해지리,탄탄 - 남사친이 필요할 때,Tinder 새로운 친구를 발견해봐,Tinder 새로운 친구를 발견해봐,밀리의 서재 - 독서와 무제한 친해지리
16,SNOW 스노우,한컴오피스 viewer,히든프라이스 - 공동구매 / 특가 / 쇼핑,카카오뱅크 - 같지만 다른 은행,배달요기요,"네이버 지도, 내비게이션","X 보안- 바이러스 제거, 기기 청소, 가속",밀리의 서재 - 독서와 무제한 친해지리,글램 - 모든 매력적인 만남,글램 - 모든 매력적인 만남,하쿠나 라이브 -  Live 방송,글램 - 모든 매력적인 만남,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",Tinder 새로운 친구를 발견해봐,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",라인 플레이 – 전세계 No.1 패션 게임,라인 플레이 – 전세계 No.1 패션 게임
17,Netflix(넷플릭스),뱅크샐러드,카카오뱅크 - 같지만 다른 은행,V3 Mobile Plus 2.0,"네이버 지도, 내비게이션",SRT - 수서고속철도(NEW),"송가인 노래듣기 - 히트곡, 방송 영상, 공연 영상, 7080 트로트 메들리 감상",어린이를 위한 그리기! 점선 따라 그리기!,한컴오피스 한글,CamScanner (License),토익 PART5 종결자,Puffin Browser Pro,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수","여보야 - 결혼,재혼을 위한 중매쟁이 앱","여보야 - 결혼,재혼을 위한 중매쟁이 앱",라인 플레이 – 전세계 No.1 패션 게임,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,Tinder 새로운 친구를 발견해봐
18,당근마켓 - 우리 동네 중고 직거래 벼룩장터,KB국민은행 스타뱅킹,당근마켓 - 우리 동네 중고 직거래 벼룩장터,"AliExpress - 스마트한쇼핑, 더즐거운생활",Instagram,4shared,NH스마트뱅킹,TikTok 틱톡,i-ONE Bank - IBK기업은행,Wish - 쇼핑은 즐겁다,배달의민족,Google 렌즈,VivaVideo - 동영상 편집 어플 & 무비메이커,탄탄 - 남사친이 필요할 때,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,"여보야 - 결혼,재혼을 위한 중매쟁이 앱","여보야 - 결혼,재혼을 위한 중매쟁이 앱"
19,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",토스,삼성 음성 녹음,Instagram,TikTok 틱톡,삼성 음성 녹음,"네이버 지도, 내비게이션",글램 - 모든 매력적인 만남,Tinder 새로운 친구를 발견해봐,라인 플레이 – 전세계 No.1 패션 게임,밀리의 서재 - 독서와 무제한 친해지리,밀리의 서재 - 독서와 무제한 친해지리,"여보야 - 결혼,재혼을 위한 중매쟁이 앱",ZEPETO,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환"
20,"네이버 지도, 내비게이션",원더쇼핑:인기쇼핑몰/핫딜/여행쿠폰/웹툰/위메프투어/위메프페이,Netflix(넷플릭스),밴드,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",TikTok 틱톡,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),한컴오피스 한글,Nova Launcher Prime,AirBuds Popup - airpod battery app,SOVS 소브스 - 구도 카메라,무음무음 PRO,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,V LIVE,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",아만다: 눈 높아도 괜찮은 프리미엄 소개팅
21,FLO – 플로,밴드,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",Facebook,4shared,Instagram,4shared,배달요기요,NH스마트뱅킹,V3 Mobile Plus 2.0,바이오인증 공동앱,NH콕뱅크,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)","포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수","너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",VivaVideo - 동영상 편집 어플 & 무비메이커,윌라 - 베스트셀러 오디오북&프리미엄 강의,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅
22,BuzzVideo버즈비디오 - 화제의 동영상，재미있는 GIF 및 TV 쇼,네이버 파파고 - AI 통번역,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),뱅크샐러드,카카오페이지 KakaoPage,배달요기요,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",라인 플레이 – 전세계 No.1 패션 게임,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",아만다: 눈 높아도 괜찮은 프리미엄 소개팅,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,탄탄 - 남사친이 필요할 때,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)","당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기","너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",ZEPETO,"스픽 (Speak): 영어회화, 스피킹, 발음"
23,뱅크샐러드,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),Instagram,한컴오피스 viewer,CGV,다이소 멤버십,FLO – 플로,AirBuds Popup - airpod battery app,MarineTraffic ship positions,토익 PART5 종결자,무음무음 PRO,AirBuds Popup - airpod battery app,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",ZEPETO,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",VivaVideo - 동영상 편집 어플 & 무비메이커,ZEPETO
24,ISP/페이북,배달요기요,Google Play 게임,Netflix(넷플릭스),Facebook,SODA 소다 - Natural Beauty Camera,일기 예보 2020 - 실시간 날씨,i-ONE Bank - IBK기업은행,카카오뱅크 - 같지만 다른 은행,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",배달요기요,배달의민족,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",VivaVideo - 동영상 편집 어플 & 무비메이커,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",윌라 - 베스트셀러 오디오북&프리미엄 강의,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",윌라 - 베스트셀러 오디오북&프리미엄 강의
25,SODA 소다 - Natural Beauty Camera,"네이버 지도, 내비게이션",SODA 소다 - Natural Beauty Camera,배달의민족,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Baby Filter : Baby Photo,밴드,"Bigo Live (비고라이브) – 라이브방송, 영상채팅","너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)","스와이프 - 세상의 모든 만남, 소개팅앱 1위!",라인 플레이 – 전세계 No.1 패션 게임,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",비트윈 Between,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",VivaVideo - 동영상 편집 어플 & 무비메이커,키네마스터(KineMaster) - 동영상 편집기,키네마스터(KineMaster) - 동영상 편집기,커넥팅 - 심심할 때 통화할 편한 친구
26,코레일톡,Facebook,코레일톡,팝콘티비,토스,T map - 내비게이션 / 지도,Facebook,µTorrent® Pro - Torrent App,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,Watch Face -WatchMaker Premium for Android Wear OS,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",SOVS 소브스 - 구도 카메라,"Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환",소모임 - No.1 취미모임 앱,"스픽 (Speak): 영어회화, 스피킹, 발음",ZEPETO,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이","너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)"
27,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),요리백과 만개의레시피,밴드,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,밴드,NH콕뱅크,T map - 내비게이션 / 지도,"네이버 지도, 내비게이션",밴드,T map - 내비게이션 / 지도,네이버 - NAVER,NAVER VIBE (바이브),키네마스터(KineMaster) - 동영상 편집기,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",소모임 - No.1 취미모임 앱,리슨 Lysn
28,Messenger,Google Play 게임,토스,당근마켓 - 우리 동네 중고 직거래 벼룩장터,ISP/페이북,Facebook,Netflix(넷플릭스),"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)","당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기","너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)","너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",VivaVideo - 동영상 편집 어플 & 무비메이커,ZEPETO,윌라 - 베스트셀러 오디오북&프리미엄 강의,윌라 - 베스트셀러 오디오북&프리미엄 강의,커넥팅 - 심심할 때 통화할 편한 친구,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",VivaVideo - 동영상 편집 어플 & 무비메이커
