,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
29,Facebook,"Cut Cut - 사진편집어플, 자동 자르기, 얼굴 스왑 및 스티커",Puffin Web Browser,Google Play 게임,한컴오피스 viewer,한컴오피스 viewer,Messenger,Aa너구리굴림™ 한국어 Flipfont,Watch Face -WatchMaker Premium for Android Wear OS,Word master 워드마스터 수능 2000(18개정),Flashcards Deluxe,µTorrent® Pro - Torrent App,소모임 - No.1 취미모임 앱,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,소모임 - No.1 취미모임 앱,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅","썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)","포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수"
30,해피포인트,SSG.COM,배달의민족,Messenger,날씨 오늘 - 라이브일기 예보 앱 2020,Super Magic Cleaner - 안드로이드 클리너 휴대폰 쿨러 안티바이러스,SODA 소다 - Natural Beauty Camera,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!","카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",Netflix(넷플릭스),wavve(웨이브) - 재미의 파도를 타다!,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,키네마스터(KineMaster) - 동영상 편집기,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",소모임 - No.1 취미모임 앱,카카오키즈,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅"
31,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",튜브박스 - 음악 동영상 다운로드,네이버 파파고 - AI 통번역,SNOW 스노우,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),"더더더 - 단속,정체,사고정보를  공유하는 소셜교통정보 서비스!","여보야 - 결혼,재혼을 위한 중매쟁이 앱","LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어","LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어","스와이프 - 세상의 모든 만남, 소개팅앱 1위!","Kmate 케이메이트 - 한국을 사랑하는 외국인친구 사귀기, 미팅, 외국어 채팅, 언어교환","스와이프 - 세상의 모든 만남, 소개팅앱 1위!","다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",키네마스터(KineMaster) - 동영상 편집기,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",커넥팅 - 심심할 때 통화할 편한 친구,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)"
32,토스,NH콕뱅크,BNK부산은행 모바일뱅킹,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Google Play 게임,네이버 파파고 - AI 통번역,Samsung Notes,데이그램 - 하루 한줄 일기장,CCSWE App Manager Pro License,Torque Pro (OBD2 / 자동차),AlpineQuest Off-Road Explorer,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,카카오키즈,최애돌♡ - 아이돌 순위 / 스케줄 / 퀴즈,커넥팅 - 심심할 때 통화할 편한 친구,카카오키즈,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플","아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이"
33,SERIES - 네이버 시리즈,Messenger,NH콕뱅크,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",콴다 - 400만 다운로드 수학 공부앱,인천e음,삼성 음성 녹음,SODA 소다 - Natural Beauty Camera,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),쿠팡 (Coupang),SRT - 수서고속철도(NEW),V3 Mobile Plus 2.0,윌라 - 베스트셀러 오디오북&프리미엄 강의,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",카카오키즈,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이","아르고 ARGO - 영상메신저, 영상채팅, 친구찾기","아르고 ARGO - 영상메신저, 영상채팅, 친구찾기"
34,네이버 파파고 - AI 통번역,서울시 세금납부 - 서울시 STAX,Facebook,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",Messenger,Samsung Notes,카카오뱅크 - 같지만 다른 은행,하쿠나 라이브 -  Live 방송,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,VivaVideo - 동영상 편집 어플 & 무비메이커,IZ*ONE Private Mail,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,"아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",카카오키즈,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,증권플러스 for Kakao - 국민 증권앱,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기"
35,멜론,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Total Cleaner,멜론,네이버 파파고 - AI 통번역,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",네이버 파파고 - AI 통번역,터치매크로-자동터치,Nebo - 노트 작성 기능 향상,무음모드 (순정 무음카메라),CamScanner (License),Flashcards Deluxe,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅","아이쉐어링 위치추적 - 가족 자녀안심, 친구찾기, GPS 안심이",(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,원앙챗(안심결제)
36,Cake(케이크): 무료 영어 학습,모바일지로,원더쇼핑:인기쇼핑몰/핫딜/여행쿠폰/웹툰/위메프투어/위메프페이,네이버 파파고 - AI 통번역,카카오내비,Samsung Members,SRT - 수서고속철도(NEW),"손금 보기 - 아기, 노화 및 팜 스캔",한컴오피스 viewer,SODA 소다 - Natural Beauty Camera,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",NH스마트뱅킹,캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅","아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",원앙챗(안심결제),원앙챗(안심결제),"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어"
37,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),카카오내비,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",카카오내비,메가박스(MEGABOX),Messenger,튜브다운 시즌2,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어",VivaVideo - 동영상 편집 어플 & 무비메이커,Netflix(넷플릭스),"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",소모임 - No.1 취미모임 앱,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,"스픽 (Speak): 영어회화, 스피킹, 발음",원앙챗(안심결제),포켓미니,"스픽 (Speak): 영어회화, 스피킹, 발음",소모임 - No.1 취미모임 앱
38,Akinator,[공식]고속버스 티머니,"Smart Radio FM – 무료 음악, 인터넷 & FM 라디오",코레일톡,코레일톡,UNIQLO KR,카카오내비,Nova Launcher Prime,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",구닥,Poweramp Full Version Unlocker,Nova Launcher Prime,"썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)","만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅","만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",LivU - 랜덤 영상 채팅,"만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅
39,카카오내비,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",나침반,KB국민은행 스타뱅킹,SNOW 스노우,롯데홈쇼핑 – 롯데 ON,송가인 노래모음 완전무료 듣기 - 송가인 트로트 인기곡 모음,Facebook,SODA 소다 - Natural Beauty Camera,밴드,한컴오피스 viewer,셀렉트숍 무신사 - SELECT SHOP MUSINSA,"아르고 ARGO - 영상메신저, 영상채팅, 친구찾기","스와이프 - 세상의 모든 만남, 소개팅앱 1위!","썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)","아르고 ARGO - 영상메신저, 영상채팅, 친구찾기",투믹스 - 웹툰 (무료웹툰/인기만화),증권플러스 for Kakao - 국민 증권앱
40,"B612 - 뷰티 효과, 감성필터, 셀피 카메라","직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",현대카드,바이오인증 공동앱,Samsung Notes,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",PayProtocol Wallet(페이 프로토콜) - PCI(페이코인) 결제/송금,V LIVE,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,Netflix(넷플릭스),Netflix(넷플릭스),"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기","썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",Smule - 최고의 노래 어플,증권플러스 for Kakao - 국민 증권앱,Smule - 최고의 노래 어플,카카오키즈
41,한컴오피스 viewer,코레일톡,에브리타임 - 시간표 & 대학교 커뮤니티,BNK부산은행 모바일뱅킹,Coreader- QR 코드 및 바코드 스캐너,Baby Maker: predicts baby face,한컴오피스 viewer,개념 한국사,"편한가계부 (+음성, PC)",Aa너구리굴림™ 한국어 Flipfont,Aa너구리굴림™ 한국어 Flipfont,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터","만남,돌싱,중년,채팅어플,아줌마중매,무료채팅,소개팅,재혼만남,만남어플 - 불팅",LivU - 랜덤 영상 채팅,"Evernote – 수첩, 노트와 메모를 위한 플래너",Smule - 최고의 노래 어플,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",키네마스터(KineMaster) - 동영상 편집기
42,스푼 라디오 - Be A LIVE,기아자동차,네이버TV,ISP/페이북,롯데시네마,ISP/페이북,SNOW 스노우,wavve(웨이브) - 재미의 파도를 타다!,카카오내비,음악바다 - 빠른 음악다운 플레이,Netflix(넷플릭스),네이버 - NAVER,Smule - 최고의 노래 어플,커넥팅 - 심심할 때 통화할 편한 친구,Microsoft OneDrive,"Evernote – 수첩, 노트와 메모를 위한 플래너",Microsoft OneDrive,LivU - 랜덤 영상 채팅
43,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,삼성 음성 녹음,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),아프리카TV - AfreecaTV,"Smart Radio FM – 무료 음악, 인터넷 & FM 라디오",Samsung Health(삼성 헬스),"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라","썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",카카오키즈,키네마스터(KineMaster) - 동영상 편집기,소모임 - No.1 취미모임 앱,키네마스터(KineMaster) - 동영상 편집기,LivU - 랜덤 영상 채팅,원앙챗(안심결제),캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,IZ*ONE Private Mail,"Evernote – 수첩, 노트와 메모를 위한 플래너",Smule - 최고의 노래 어플
44,밴드,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,튜브캐시 - 시청하고 적립하고,"B612 - 뷰티 효과, 감성필터, 셀피 카메라",다이소 멤버십,올리브영,wavve(웨이브) - 재미의 파도를 타다!,심플 갤러리 Pro,Poweramp Full Version Unlocker,CCSWE App Manager Pro License,Watch Face -WatchMaker Premium for Android Wear OS,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",듀오링고(Duolingo): 무료 영어 학습,Smule - 최고의 노래 어플,"다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기",토도 수학,IZ*ONE Private Mail,"즐겁게톡 - 채팅, 랜덤채팅"
45,트립스토어 - 해외 패키지 & 에어텔 특가 비교,ISP/페이북,마켓컬리-내일의 장보기,SSG.COM,삼성 음성 녹음,Netflix(넷플릭스),Snapchat,코레일톡,코레일톡,NH스마트뱅킹,코레일톡,Flipboard Briefing,밴드,단짝 게임 - 친구사귀기 예쁜 아바타 만들기 즐거운 월드이벤트 함께 즐기는 우리들만의 공간,V LIVE,"스픽 (Speak): 영어회화, 스피킹, 발음",헬로우봇 - AI 사주・타로・상담,IZ*ONE Private Mail
46,국세청 홈택스,SNOW 스노우,국세청 홈택스,롯데백화점,롯데홈쇼핑 – 롯데 ON,코레일톡,롯데홈쇼핑 – 롯데 ON,"AI 토익 튜터, 산타","HiddenMe -  노화 카메라, 페이스앱","썸데이 - 이상형 매칭 소개팅 (만남, 데이트, 소개팅 어플)",키네마스터(KineMaster) - 동영상 편집기,(앙팅 즐팅 통합) 앙팅즐팅 톡톡 랜덤채팅,"스픽 (Speak): 영어회화, 스피킹, 발음","빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",LivU - 랜덤 영상 채팅,Microsoft OneDrive,"은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",즐챗 - 채팅을 통한 즐거운 이성친구와 대화
47,SSG.COM,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",Messenger,콴다 - 400만 다운로드 수학 공부앱,멜론,뱅크샐러드,ISP/페이북,친일인명사전,데이그램 - 하루 한줄 일기장,"Panda Keymapper - Gamepad,mouse,keyboard",Magic DosBox,DiskDigger Pro file recovery,"빠른톡S - 더 강력해진 실시간 영상통화, 목소리듣고 빠르게 인연 찾는 어플",캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",캐치잇 잉글리시 : 게임보다 쉬운 영어 학습,LivU - 랜덤 영상 채팅,Microsoft OneDrive
48,[공식]고속버스 티머니,롯데홈쇼핑 – 롯데 ON,Samsung Health(삼성 헬스),NAVER VIBE (바이브),[공식]고속버스 티머니,SNOW 스노우,콴다 - 400만 다운로드 수학 공부앱,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Wish - 쇼핑은 즐겁다,Messenger,네이버 파파고 - AI 통번역,T map - 내비게이션 / 지도,크리스천데이트 -  기독교 청년들을 위한 소개팅,"Evernote – 수첩, 노트와 메모를 위한 플래너","은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅","은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅","다톡 - 무료 채팅으로 동네 친구, 톡친구 사귀기","스와이프 - 세상의 모든 만남, 소개팅앱 1위!"
49,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",콴다 - 400만 다운로드 수학 공부앱,뱅크샐러드,카카오페이지 KakaoPage,challa NEON: 인스타 틱톡 비디오 스토리 만들기,현대카드,코레일톡,"포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수","은하수다방 - 돌싱, 재혼을 위한 프리미엄 소개팅",카카오키즈,카카오키즈,위버스 - Weverse,"Evernote – 수첩, 노트와 메모를 위한 플래너",Bermuda - 화상채팅으로 새로운 친구 만나기,밴드,헬로우봇 - AI 사주・타로・상담,"즐겁게톡 - 채팅, 랜덤채팅","낯선 사람과 채팅, 동호회 - 비밀친구"
