,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
78,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,지도,호텔 엠파이어 타이쿤;방치;게임;경영자;시뮬레이터,Messenger,네이버 클라우드 - NAVER Cloud,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!"
79,브랜디 - 여성들의 쇼핑맛집,코레일톡,토스,열정품은타이머 - 혼자 공부하지말고 열품타에서함께 공부하세요!,쏘카 - 1등 카셰어링,FLO – 플로
80,KB국민은행 스타뱅킹,Gmail,왓챠플레이,알바몬 맞춤알바,랜덤 다이스(Random Dice) : PvP 디펜스,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD"
81,샤이닝라이트,TheDayBefore (디데이 위젯),wavve(웨이브) - 재미의 파도를 타다!,CamScanner Free,쿠키런: 오븐브레이크,"폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어"
82,아이디어스(idus) - 핸드메이드/수공예 장터,"VLLO (구 Vimo / 비모) - 동영상 편집 어플, Vlog 편집 배속 어플",이마트몰 – emart mall,헬로우봇 - AI 사주・타로・상담,Meitu 메이투 - 뷰티 셀카 / 동영상 기능 / 재밌는 보정 / 사진 편집,Escape the clutches
83,스마트위택스,CJ대한통운 택배,꿈의 정원 (Gardenscapes),유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,카카오내비,콴다 - 400만 다운로드 수학 공부앱
84,지니 뮤직 - genie,Hunter Assassin,카카오페이,Rummikub,지니 뮤직 - genie,Nike Run Club
85,T world,FLO – 플로,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",Microsoft Teams,네이버 파파고 - AI 통번역,Pinterest (핀터레스트): 수백만개의 아이디어
86,국세청 홈택스,피망 뉴맞고 : 고스톱으로 대한민국 1등,브랜디 - 여성들의 쇼핑맛집,"PASS by SK TELECOM(구, T인증)",코레일톡,NAVER VIBE (바이브)
87,에브리타임 - 시간표 & 대학교 커뮤니티,T world,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,배틀그라운드,YouTube Music,SoundCloud - 음악과 오디오
88,T map for SK,i-ONE Bank - IBK기업은행,와디즈(wadiz) - 펀딩으로 있게하자,와디즈(wadiz) - 펀딩으로 있게하자,마켓컬리-내일의 장보기,T world
89,카카오페이지 KakaoPage,V LIVE,JTBC TV for iPhone,Nike Run Club,해피포인트,해피포인트
90,"티빙(TVING) - 실시간TV, 방송VOD, 영화VOD","PASS by U+(구, U+인증)",쿠키런: 오븐브레이크,Spiral Roll,FLO – 플로,Wobble Man
91,바비톡 - 대한민국 1등 성형앱 & 뷰티 커뮤니티,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!","직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",키움증권 영웅문S,유니콘 HTTPS 우회앱 -  안전하고 빠른 HTTPS/SNI 차단 우회앱,wavve(웨이브) - 재미의 파도를 타다!
92,NAVER VIBE (바이브),지니 뮤직 - genie,네이버 클라우드 - NAVER Cloud,정부24(구 민원24),"PAYCO - 페이코, 혜택까지 똑똑한 간편결제",왓챠플레이
93,i-ONE Bank - IBK기업은행,위메프 - 특가대표 (특가 / 쇼핑 / 쇼핑앱 / 쿠폰 / 배송),(New) 우리은행 우리WON뱅킹,키움증권 계좌개설,[공식]고속버스 티머니,쇼핑을 바꾸는 쇼핑. G마켓
94,Meitu 메이투 - 뷰티 셀카 / 동영상 기능 / 재밌는 보정 / 사진 편집,꽃피는 달빛,Cube Escape: Paradox KR,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",타임커머스 티몬,Google 드라이브
95,술게임 - 술자리오락실,쇼핑을 바꾸는 쇼핑. G마켓,아프리카TV - AfreecaTV,캐시워크 - 적립형 만보기 첫화면,스타벅스,카카오내비
96,CGV,지그재그 - No.1 여성쇼핑몰 모음앱,iPhone용 Skype,FLO – 플로,코브라 브라우저,트위터
97,Pocket World 3D,NH콕뱅크,에브리타임 - 시간표 & 대학교 커뮤니티,NAVER VIBE (바이브),[공식]시외버스 티머니,"피터팬의좋은방구하기-원룸,투룸,원룸텔,쉐어하우스 수수료 없는 부동산 No.1"
98,Airbnb (에어비앤비) - 색다른 숙소 특별한 여행,트리플 - 해외여행 가이드,"키즈노트::유치원,어린이집,학원 필수 앱!","위두랑, Wedorang",꿈의 집 (Homescapes),썸원 Sumone - 커플 다이어리
99,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,Discord - 게이머를 위한 메신저,라스트오더 - 오늘의 마감세일,네이버 클라우드 - NAVER Cloud,내 곁에 국민연금,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기
