,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
30,SNOW 스노우,천사성역,Instagram,당근마켓 - 우리 동네 중고 직거래 벼룩장터,"좋은 피자, 위대한 피자",배달의민족,샤이닝라이트,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",하쿠나 라이브 -  Live 방송,서머너즈 워: 천공의 아레나,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)","피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)"
31,세븐나이츠,신명,쿠키런: 오븐브레이크,세븐나이츠,Netflix(넷플릭스),쿠키런: 오븐브레이크,왕이되는자,서머너즈 워: 천공의 아레나,뇌명천하,왕이되는자,에픽세븐,브롤스타즈
32,오드마,FILCA - SLR 필름 카메라,Facetune - 무광고 버전,Facetune - 무광고 버전,Analog London,유니콘:광고차단 필수 앱,궁수의 전설,왓챠플레이,마피아42,컴투스프로야구2020,삼국지M,황제라 칭하라
33,YouTube,올리브영,토스,Meitu 메이투 - 뷰티 셀카 / 동영상 기능 / 재밌는 보정 / 사진 편집,Chrome: 빠르고 안전한 브라우저,삼국지킹덤디펜스,삼국지M,왕이되는자,명일방주,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",Netflix(넷플릭스),wavve(웨이브) - 재미의 파도를 타다!
34,Netflix(넷플릭스),에픽세븐,SERIES - 네이버 시리즈,멜론,세븐나이츠,이사만루2019,황제라 칭하라,프린세스 커넥트! Re:Dive,R5,wavve(웨이브) - 재미의 파도를 타다!,달빛조각사,컴투스프로야구2020
35,Analog Jeju,서울 2033 : 후원자,로그하츠,Feica - 나의 첫번째 필름 카메라,DEEMO,Analog Seoul,eFootball PES 2020,멜론,멜론,MLB 9이닝스 20,로드 오브 히어로즈,꿈의 정원 (Gardenscapes)
36,쿠팡 (Coupang),오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,"키즈노트::유치원,어린이집,학원 필수 앱!",쿠팡 (Coupang),아이디어스(idus) - 핸드메이드/수공예 장터,Draw it,wavve(웨이브) - 재미의 파도를 타다!,배틀그라운드,클래시 오브 클랜,멜론,리니지2M(12),꿈의 집 (Homescapes)
37,메이플스토리M,Netflix(넷플릭스),벅스 - Bugs,왓챠플레이,쿠키런: 오븐브레이크,황제라 칭하라,원피스 트레저 크루즈,클래시 오브 클랜,벅스 - Bugs,삼국지M,서머너즈 워: 천공의 아레나,서머너즈 워: 천공의 아레나
38,nPlayer - The best media player,"위플 해빗 (Habit) - 습관 관리, 목표 달성, To-Do",Cute Emoticon Keyboard,데이그램 - 하루 한줄 일기장,Rummikub,DEEMO,MLB 9이닝스 20,엑소스 히어로즈,일곱 개의 대죄: GRAND CROSS,라그나로크 택틱스,멜론,멜론
39,TikTok 틱톡,츠키의 모험 (Tsuki),[공식]시외버스 티머니,"AliExpress - 스마트한쇼핑, 더즐거운생활",LIFEPLUS,SOVS2 - 포즈 카메라,"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",eFootball PES 2020,서머너즈 워: 천공의 아레나,꿈의 정원 (Gardenscapes),뇌명천하,후궁의 법칙
40,wavve(웨이브) - 재미의 파도를 타다!,멜론,스푼 라디오 - Be A LIVE,Netflix(넷플릭스),SERIES - 네이버 시리즈,V LIVE,멜론,킹 오브 파이터 올스타,다음웹툰 - DAUM WEBTOON,뇌명천하,꿈의 정원 (Gardenscapes),"Bigo Live (비고라이브) – 라이브방송, 영상채팅"
41,구닥,Analog Acoustic,Feica - 나의 첫번째 필름 카메라,Rebel Inc. (반란 주식회사),Isoland,nPlayer - The best media player,하쿠나 라이브 -  Live 방송,일곱 개의 대죄: GRAND CROSS,꿈의 정원 (Gardenscapes),전략적 팀 전투: 리그 오브 레전드 전략 게임,G-TV,마피아42
42,십만대적검 : REBOOT,네이버 - NAVER,Chrome: 빠르고 안전한 브라우저,Mr Bullet - 스파이 퍼즐,쿠팡 (Coupang),좀비 스트라이커：데스 서바이벌 AFK RPG,컴투스프로야구2020,컴투스프로야구2020,샤이닝라이트,로드 오브 히어로즈,위피 - 동네 친구가 필요할 때,위피 - 동네 친구가 필요할 때
43,스푼 라디오 - Be A LIVE,배틀그라운드,황제라 칭하라,신명,멜론,컴투스프로야구2020,브롤스타즈,궁수의 전설,꿈의 집 (Homescapes),마피아42,eFootball PES 2020,로드 오브 히어로즈
44,온더훅 : 더 얼티밋 패트론 에디션,세븐데이즈 - 라이트 노벨 어드벤처 .스토리 선택 게임,GoodNotes 4 - 메모와 PDF,Pirates Outlaws,데이그램 - 하루 한줄 일기장,Rummikub,붕괴3rd,"아자르 Azar -라이브로 친구찾기, 영상메신저",Age of Z,리니지2M(12),클래시 오브 클랜,에픽세븐
45,멜론,배틀그라운드,신역전설 - 말세의 천국을 타파,NH스마트뱅킹,CGV,Instagram,왓챠플레이,삼국지M,"아자르 Azar -라이브로 친구찾기, 영상메신저",Age of Z,벅스 - Bugs,클래시 오브 클랜
46,이사만루2019,다크에덴M,Pokémon GO,아이러브니키,로드 모바일: 제국의 전쟁 - MMORPG,wavve(웨이브) - 재미의 파도를 타다!,"아자르 Azar -라이브로 친구찾기, 영상메신저",Netflix(넷플릭스),펜타스톰,세븐나이츠,꿈의 집 (Homescapes),검은사막 모바일
47,"편한가계부 (+음성, PC)",DEEMO,무디 - 영화/드라마 포토 다이어리,DEEMO,Feica - 나의 첫번째 필름 카메라,레이튼 교수와 이상한 마을 HD,Netflix(넷플릭스),리니지2M(12),"피망 포커: 카지노 로얄 (7포커, 로우바둑이, 하이로우)",다음웹툰 - DAUM WEBTOON,마피아42,킹오파 익스트림 매치
48,히어로즈 오브 마이트 앤 매직:에라 오브 카오스,[공식]시외버스 티머니,천사성역,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,토스,maybe-메이비:내가 만드는 이야기,랜덤 다이스(Random Dice) : PvP 디펜스,다음웹툰 - DAUM WEBTOON,붕괴3rd,Netflix(넷플릭스),이사만루3,모두의마블
49,MLB 9이닝스 20,왓챠플레이,킹스레이드,로드 모바일: 제국의 전쟁 - MMORPG,린: 더 라이트브링어,Netflix(넷플릭스),게임빌프로야구 슈퍼스타즈,꿈의 집 (Homescapes),위피 - 동네 친구가 필요할 때,꿈의 집 (Homescapes),Age of Z,삼국지M
50,던전 서바이벌,nPlayer - The best media player,nPlayer - The best media player,FocusTimer Pro - 공부 습관이 바뀌는 앱,구닥,Analog Portland,펜타스톰,위피 - 동네 친구가 필요할 때,궁수의 전설,"아자르 Azar -라이브로 친구찾기, 영상메신저",킹오파 익스트림 매치,이사만루3
51,SOVS2 - 포즈 카메라,지도,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크",Twist Hit!,카카오톡 KakaoTalk,쿠팡 (Coupang),클래시 오브 클랜,펜타스톰,달빛조각사,왓챠플레이,궁수의 전설,왓챠플레이
52,왓챠플레이,서머너즈 워: 천공의 아레나,MARVEL 퓨처파이트,라스트 쉘터 (Last Shelter: Survival),스푼 라디오 - Be A LIVE,강림 : 망령인도자,위피 - 동네 친구가 필요할 때,달빛조각사,밀리의 서재 - 독서와 무제한 친해지리,위피 - 동네 친구가 필요할 때,랑그릿사,Age of Z
53,Reigns,FocusTimer Pro - 공부 습관이 바뀌는 앱,Analog Acoustic,Analog Beijing,Analog Acoustic,Analog Beijing,삼국지:디펜스의 신,꽃피는 달빛,Minecraft,샤이닝라이트,일곱 개의 대죄: GRAND CROSS,"아자르 Azar -라이브로 친구찾기, 영상메신저"
54,Polysphere,Messenger,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,SNOW 스노우,돌아온 액션퍼즐패밀리,잼라이브 (JAM LIVE) - 라이브 예능&쇼핑,꿈의 집 (Homescapes),DX : 신 세기의 전쟁,리치리치,닌자대전,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",Netflix(넷플릭스)
55,로드 모바일: 제국의 전쟁 - MMORPG,eFootball PES 2020,프렌즈마블,서머너즈 워: 천공의 아레나,서머너즈 워: 천공의 아레나,퍼즐앤드래곤,엑소스 히어로즈,세븐나이츠,리니지2M(12),글램 - 모든 매력적인 만남,블레스 모바일,제5인격
56,TouchRetouch,Poly Bridge,Analog Beijing,Geometry Dash,Analog Portland,Feica - 나의 첫번째 필름 카메라,오늘도 우라라 원시 헌팅 라이프,벅스 - Bugs,Tinder 새로운 친구를 발견해봐,꽃피는 달빛,Pokémon GO,붕괴3rd
57,Space Big Bang,SNOW 스노우,마켓컬리-내일의 장보기,ISP/페이북,에이블리 - 셀럽마켓 모음앱,"네이버 지도, 내비게이션",다음웹툰 - DAUM WEBTOON,한게임 포커,랑그릿사,펜타스톰,후궁의 법칙,아이러브니키
58,"아자르 Azar -라이브로 친구찾기, 영상메신저",뱅드림! 걸즈 밴드 파티!,서머너즈 워: 천공의 아레나,뮤오리진2,킹스레이드,원피스 트레저 크루즈,세븐나이츠,Age of Z,스카이피아,BTS WORLD,"아자르 Azar -라이브로 친구찾기, 영상메신저",달빛조각사
59,GoodNotes 4 - 메모와 PDF,ilSang Pro,당신은 희망 입니다 (You are Hope),Rusty Lake Hotel KR,GoodNotes 4 - 메모와 PDF,FocusTimer Pro - 공부 습관이 바뀌는 앱,꿈의 정원 (Gardenscapes),마피아 시티,카운터사이드,한게임 포커,라스트 쉘터 (Last Shelter: Survival),엠파이어 & 퍼즐 (Empires & Puzzles)
60,Messenger,프렌즈레이싱,Messenger,Chrome: 빠르고 안전한 브라우저,네이버 - NAVER,Netflix(넷플릭스),아이러브니키,랑그릿사,이사만루3,클론다이크 어드벤처,프린세스 커넥트! Re:Dive,원피스 트레저 크루즈
61,프로야구 H2,로드 모바일: 제국의 전쟁 - MMORPG,"아자르 Azar -라이브로 친구찾기, 영상메신저","아자르 Azar -라이브로 친구찾기, 영상메신저",프린세스 커넥트! Re:Dive,프렌즈타운,벅스 - Bugs,로한M(18),엑소스 히어로즈,벅스 - Bugs,킹 오브 파이터 올스타,건쉽배틀 토탈워페어
62,NBA 2K19,Cute Emoticon Keyboard,히트맨 스나이퍼 (Hitman Sniper),Analog Acoustic,개념 한국사,ilSang Pro,클래시 로얄,Idle Heroes - 아이들 히어로즈,YouTube Music,스카이피아,R5,다음웹툰 - DAUM WEBTOON
63,SoundCloud - 음악과 오디오,CGV,브롤스타즈,Cube Escape: Paradox KR,"극한직업:RICH-재벌 키우기 전략 SRPG, 독창적인 시뮬레이션 게임",카카오톡 KakaoTalk,별이되어라!,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",원피스 트레저 크루즈,프린세스 커넥트! Re:Dive,꽃피는 달빛,Pokémon GO
64,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",벅스 - Bugs,ANOTHER EDEN 시공을 넘는 고양이,천사성역,프렌즈타운,세븐나이츠,한게임 포커,꿈의 정원 (Gardenscapes),SERIES ON - 네이버 시리즈 ON,랑그릿사,모두의마블,글램 - 모든 매력적인 만남
65,To the Moon,Stardew Valley,"하루 계획표, 학교종이",페이카 교토 Filmlike Kyoto,FocusTimer Pro - 공부 습관이 바뀌는 앱,길고양이 이야기 : support edition,DRAGON BALL LEGENDS -드래곤 볼 레전즈-,게임빌프로야구 슈퍼스타즈,트라하,원피스 트레저 크루즈,한게임 포커,킹 오브 파이터 올스타
66,ISP/페이북,멜론,SNOW 스노우,배틀그라운드,브롤스타즈,Run Race 3D,닌자대전,클래시 로얄,모바일 레전드: Bang Bang,리치리치,펜타스톰,뇌명천하
67,벅스 - Bugs,킹스레이드,다크에덴M,Tinder 새로운 친구를 발견해봐,라이프애프터,클래시 오브 클랜,에픽세븐,삼국지:디펜스의 신,글램 - 모든 매력적인 만남,명일방주,라이프애프터,명일방주
68,갓피플성경,The Room: Old Sins,서울 2033 : 후원자,Cytus II (사이터스Ⅱ),갓피플성경,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,DX : 신 세기의 전쟁,Tinder 새로운 친구를 발견해봐,컴투스프로야구2020,R5,모바일 레전드: Bang Bang,벅스 - Bugs
69,Layout from Instagram,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),밴드,Facebook,롯데시네마,ANOTHER EDEN 시공을 넘는 고양이,심쿵 소개팅 - 동네 이성친구 사귀기,BTS WORLD,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",라지엘,한게임 포커
70,뮤오리진2,프리스타일2:플라잉덩크,헌드레드 소울,다음웹툰 - DAUM WEBTOON,오크: 종족의 계승자,꿈의 집 (Homescapes),모바일 레전드: Bang Bang,BTS WORLD,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",궁수의 전설,다음웹툰 - DAUM WEBTOON,리치리치
71,위플 가계부,Samorost 3 (사모로스트 3),Geometry Dash,로그하츠,Reigns: 왕좌의 게임,Splendor,라스트 쉘터 (Last Shelter: Survival),리치리치,로한M(18),클럽 오디션,MARVEL 퓨처파이트,MARVEL 퓨처파이트
72,ZEPETO,신의아이들 : SEASON 2,네이버 파파고 - AI 통번역,네이버TV,메가박스(MEGABOX),0한동,Tinder 새로운 친구를 발견해봐,붕괴3rd,MARVEL 퓨처파이트,로드 모바일: 제국의 전쟁 - MMORPG,글램 - 모든 매력적인 만남,삼국지 오리진
73,버닝: 매지컬소드,이사만루2019,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",클래시 오브 클랜,소녀전선,마피아 시티,Age of Z,한게임 섯다,꽃피는 달빛,후궁의 법칙,리치리치,랑그릿사
74,ilSang Pro,Night of the Full Moon,To the Moon,GoodNotes 4 - 메모와 PDF,LumaFusion,GoodNotes 4 - 메모와 PDF,로드 모바일: 제국의 전쟁 - MMORPG,헌드레드 소울,오늘도 우라라 원시 헌팅 라이프,궁정계,별이되어라!,SERIES ON - 네이버 시리즈 ON
75,Crowd City,뱅크샐러드,멜론,카카오톡 KakaoTalk,멜론,TikTok 틱톡,리니지2M(12),정오의 데이트,Yu-Gi-Oh! Duel Links,블리치 Mobile 3D,YouTube Music,펜타스톰
76,DRAGON BALL LEGENDS -드래곤 볼 레전즈-,"아자르 Azar -라이브로 친구찾기, 영상메신저",붕괴3rd,에픽세븐,제5인격,벽람항로,한게임 섯다,제5인격,레이드: 그림자의 전설,이사만루3,밀리의 서재 - 독서와 무제한 친해지리,피카 - 가상 시뮬레이션 메신저
77,Phone Doctor Plus,후엠아이: 도로시 이야기,"편한가계부 (+음성, PC)",워터파크 스토리,Construction Simulator 3,Analog Acoustic,정오의 데이트,별이되어라!,프린세스 커넥트! Re:Dive,MLB 퍼펙트 이닝 2019,페이트/그랜드 오더,궁정계
