,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
96,NAVER VIBE (바이브),NH스마트뱅킹,트리플 - 해외여행 가이드,PicsArt Photo Editor: 콜라주 메이커 & 사진 편집기,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!",Cytus II (사이터스Ⅱ),완미세계,하스스톤,하스스톤,라이프애프터,놀러와 마이홈,세븐나이츠
97,Pokémon GO,ANOTHER EDEN 시공을 넘는 고양이,YouTube Music,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",아만다: 눈 높아도 괜찮은 프리미엄 소개팅,소녀전선,"윈조이 포커 - 블랙잭, 바카라,7포커, 로우바둑이, 뉴포커",봉인의서,마피아 시티,쿠킹 다이어리: 카페 레스토랑 경영 게임,궁정계,커넥팅 - 심심할 때 통화할 편한 친구
98,Poly Bridge,LumaFusion,사진청소기 - 사진/비디오 중복 삭제 및 앨범 압축,TouchRetouch,Cytus II (사이터스Ⅱ),ProCam 2 - 카메라와 사진 / 동영상 에디터,각성: 열렙전사 with NAVER WEBTOON,밀리의 서재 - 독서와 무제한 친해지리,위 베어 베어스 더 퍼즐,심쿵 소개팅 - 동네 이성친구 사귀기,프렌즈타운,V LIVE
99,밴드,아프리카TV - AfreecaTV,아프리카TV - AfreecaTV,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)","폴라리스 오피스 - 무료 한글, 오피스 문서 + PDF,  텍스트 뷰어",[공식]고속버스 티머니,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,클론다이크 어드벤처,에픽세븐,컴투스프로야구매니저,아이러브니키,뮤오리진2
100,파이널 판타지 XV: 새로운 제국 [Final Fantasy XV],반지,ONE PIECE Bounty Rush,별이되어라!,마피아42,레전드 오브 블루문-Legend of Bluemoon,,,,,,
101,미니 메트로,Pixelmator,Hidden Folks,Phone Doctor Plus,Muse Dash,마왕신부 -스토리 버전-,,,,,,
102,"PASS by SK TELECOM(구, T인증)",아이디어스(idus) - 핸드메이드/수공예 장터,"번개장터 - 모바일 최대 중고마켓 앱(중고나라,중고차)",카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),WeChat,프렌즈타운,,,,,,
103,몬스터 플래닛,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",나루토 X 보루토 닌자 볼테이지,버닝: 매지컬소드,성을 수호하라:Tower Defense,라이프애프터,,,,,,
104,DRAGON QUEST III,Mi Band Master,던전 서바이벌,Rush Rally 3,"PLOT - 플롯, 나의 이야기",Doodle Jump,,,,,,
105,네이버 웹툰 - Naver Webtoon,삼국로맨스 전장의 소녀RPG,"직방 - 2,800만명이 선택한 No.1 부동산 앱(아파트,분양,원룸,오피스텔,빌라,상가)",캐시워크 - 적립형 만보기 첫화면,네이버 클라우드 - NAVER Cloud,지도,,,,,,
