,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
32,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",한컴오피스 viewer,"AliExpress - 스마트한쇼핑, 더즐거운생활",NH스마트뱅킹,Google Play 게임,카카오내비
33,에이블리 - 셀럽마켓 모음앱,터치엔 엠백신 for Web(기업용),토스,카카오뱅크 - 같지만 다른 은행,다음웹툰 - DAUM WEBTOON,Facebook
34,Google Play 게임,롯데마트 M쿠폰,우체국,국세청 홈택스,미샤,Google Play 게임
35,다이소 멤버십,TikTok 틱톡,아이디어스(idus) - 핸드메이드/수공예 장터,Google Classroom,배달요기요,에이블리 - 셀럽마켓 모음앱
36,터치엔 엠백신 for Web(기업용),T map - 내비게이션 / 지도,NH스마트뱅킹,"네이버 지도, 내비게이션",카카오뱅크 - 같지만 다른 은행,스타벅스
37,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,ISP/페이북,"키즈노트::유치원,어린이집,학원 필수 앱!",텔레그램 공식 앱 Telegram,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),멜론
38,"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",i-ONE Bank - IBK기업은행,신천지위치알림,Facebook,정부24(구 민원24),SODA 소다 - Natural Beauty Camera
39,스마트위택스,삼성카드,리브,부산 동백전,아이디어스(idus) - 핸드메이드/수공예 장터,SNOW 스노우
40,ISP/페이북,휴대폰 인증서 서비스(유비키_UBIKey),농협하나로앱,모바일 관세청,삼성카드,네이버 웹툰 - Naver Webtoon
41,KB국민은행 스타뱅킹,SERIES - 네이버 시리즈,타임커머스 티몬,TikTok 틱톡,Facebook,Wish - 쇼핑은 즐겁다
42,카카오내비,오늘의집 - 700만이 선택한 No.1 인테리어 필수앱,공구마켓,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),멜론,올리브영
43,SODA 소다 - Natural Beauty Camera,바이오인증 공동앱,"임영웅 무료듣기 – 미스터트롯 임영웅 메들리 – 미스터트롯 임영웅 방송, 예선 참가곡 듣기","티빙(TVING) - 실시간TV, 방송VOD, 영화VOD",터치엔 엠백신 for Web(기업용),지그재그 - No.1 여성쇼핑몰 모음앱
44,4shared,네이버 파파고 - AI 통번역,wavve(웨이브) - 재미의 파도를 타다!,지역상품권 chak,"임영웅 무료듣기 – 미스터트롯 임영웅 메들리 – 미스터트롯 임영웅 방송, 예선 참가곡 듣기",NH스마트뱅킹
45,네이버 파파고 - AI 통번역,NH콕뱅크,임영웅 무료듣기 - 트로트 7080 베스트 인기곡 뽕짝 메들리 100 무료 노래모음,"미스터트롯 무료듣기 – 미스터트롯 트로트 메들리 – 미스터트롯 방송영상, 예선 참가곡 듣기",4shared,카카오뱅크 - 같지만 다른 은행
46,알바천국- 알바 구인구직 포털서비스,다방 - 대한민국 부동산 매물 최다보유,카카오뱅크 - 같지만 다른 은행,키움증권 계좌개설,KT 금융유심관리,제이티아이알리미
47,"PASS by SK TELECOM(구, T인증)",브랜디 - 여성들의 쇼핑맛집,삼성카드,ISP/페이북,FLO – 플로,삼성카드
48,"여기어때 - 호텔, 모텔, 펜션, 캠핑, 게하, 액티비티 최저가 예약!","파일썬 공식앱 - 최신영화,드라마,예능,애니,웹툰 무료 다시보기",네이버 웹툰 - Naver Webtoon,네이버TV,"카카오 T - 택시, 대리운전, 주차, 내비, 카풀, 바이크","티빙(TVING) - 실시간TV, 방송VOD, 영화VOD"
49,[공식]고속버스 티머니,신한 쏠(SOL) – 신한은행 스마트폰뱅킹,코로나맵 - 코로나알리미,뱅크샐러드,NH농협카드 스마트앱,핀크 Finnq
