,2019-01-01,2019-02-01,2019-03-01,2019-04-01,2019-05-01,2019-06-01,2019-07-01,2019-08-01,2019-09-01,2019-10-01,2019-11-01,2019-12-01,2020-01-01,2020-02-01,2020-03-01,2020-04-01,2020-05-01,2020-06-01
12,µTorrent® Pro - Torrent App,아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,터치매크로-자동터치,어린이를 위한 그리기! 점선 따라 그리기!,한컴오피스 한글,터치매크로-자동터치,"편한가계부 (+음성, PC)",무음모드 (순정 무음카메라),Puffin Browser Pro,한컴오피스 한글,Puffin Browser Pro,한컴오피스 한글,MX 플레이어 Pro,무음무음 PRO,Puffin Browser Pro,DroidCamX Wireless Webcam Pro,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",Puffin Browser Pro
13,어린이를 위한 그리기! 점선 따라 그리기!,Photo Studio PRO,AirBuds Popup - airpod battery app,터치매크로-자동터치,Nova Launcher Prime,CamScanner (License),어린이를 위한 그리기! 점선 따라 그리기!,V3 Mobile Plus 2.0,네이버 - NAVER,삼성 음성 녹음,NH스마트뱅킹,Instagram,무음무음 PRO,Aa문라이즈™ 한국어 Flipfont,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",Word master 워드마스터 수능 2000(18개정),Puffin Browser Pro,Velo VPN Pro
14,Aa십육살™ 한국어 Flipfont,구닥,친일인명사전,한컴오피스 한글,Tasker,데이그램 - 하루 한줄 일기장,µTorrent® Pro - Torrent App,"Twitch: 리그 오브 레전드, Hearthstone, MMO 게임 스트리밍 라이브 시청",아만다: 눈 높아도 괜찮은 프리미엄 소개팅,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,글램 - 모든 매력적인 만남,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",무음모드 (순정 무음카메라),Torque Pro (OBD2 / 자동차),Torque Pro (OBD2 / 자동차),Panda Gamepad Pro (BETA),Panda Gamepad Pro (BETA),Tasker
15,데이그램 - 하루 한줄 일기장,Aa너구리굴림™ 한국어 Flipfont,Aa십육살™ 한국어 Flipfont,필름 로지 - Feelm Rosy,Poweramp Full Version Unlocker,Tasker,한컴오피스 한글,MX 플레이어 Pro,무음모드 (순정 무음카메라),무음무음 PRO,USB Audio Player PRO,토익 PART5 종결자,토익 PART5 종결자,Puffin Browser Pro,USB Audio Player PRO,Tasker,무음모드 PRO (기본 카메라 무음),USB Audio Player PRO
16,터치매크로-자동터치,Poweramp Full Version Unlocker,어린이를 위한 그리기! 점선 따라 그리기!,무음모드 PRO (기본 카메라 무음),Aa너구리굴림™ 한국어 Flipfont,Watch Face -WatchMaker Premium for Android Wear OS,픽테일 - Limited Edition,쿠팡 (Coupang),배달요기요,Samsung Smart Switch Mobile,쿠팡 (Coupang),Samsung Smart Switch Mobile,구닥,토익 PART5 종결자,토익 PART5 종결자,WolframAlpha,Stellarium Mobile 하늘지도,Word master 워드마스터 수능 2000(18개정)
17,"책꽂이+ (독서기록, 도서관리)",Torque Pro (OBD2 / 자동차),Poweramp Full Version Unlocker,Aa십육살™ 한국어 Flipfont,Watch Face -WatchMaker Premium for Android Wear OS,Nova Launcher Prime,심플 갤러리 Pro,Tinder 새로운 친구를 발견해봐,밀리의 서재 - 독서와 무제한 친해지리,밀리의 서재 - 독서와 무제한 친해지리,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,스카이피플 (스피) : 서울대생이 만든 인증을 통한 안전한 소개팅 + 직장인 익명 커뮤니티,"책꽂이+ (독서기록, 도서관리)",무음모드 (순정 무음카메라),Panda Gamepad Pro (BETA),SOVS 소브스 - 구도 카메라,Tasker,LectureNotes
18,"편한가계부 (+음성, PC)",Aa십육살™ 한국어 Flipfont,Torque Pro (OBD2 / 자동차),Aa너구리굴림™ 한국어 Flipfont,VivaVideo PRO 비디오 편집 HD,µTorrent® Pro - Torrent App,Aa너구리굴림™ 한국어 Flipfont,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",Panda Gamepad Pro (BETA),USB Audio Player PRO,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,Panda Gamepad Pro (BETA),Panda Gamepad Pro (BETA),Toca Hair Salon 3,Aa문라이즈™ 한국어 Flipfont,토익 PART5 종결자,"책꽂이+ (독서기록, 도서관리)",Panda Gamepad Pro (BETA)
19,AirBuds Popup - airpod battery app,"책꽂이+ (독서기록, 도서관리)",구닥,µTorrent® Pro - Torrent App,어린이를 위한 그리기! 점선 따라 그리기!,심플 갤러리 Pro,VivaVideo PRO 비디오 편집 HD,당근마켓 - 우리 동네 중고 직거래 벼룩장터,SRT - 수서고속철도(NEW),"네이버 지도, 내비게이션","네이버 지도, 내비게이션",Netflix(넷플릭스),Puffin Browser Pro,"편한가계부 (+음성, PC)",Live Wallpapers by Wave,Aa문라이즈™ 한국어 Flipfont,Poweramp Full Version Unlocker,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어"
20,한컴오피스 한글,한컴오피스 한글,Word master 워드마스터 수능 2000(18개정),AirBuds Popup - airpod battery app,터치매크로-자동터치,AVStreamer - 고성능 원격제어,Nova Launcher Prime,아만다: 눈 높아도 괜찮은 프리미엄 소개팅,라인 플레이 – 전세계 No.1 패션 게임,Tinder 새로운 친구를 발견해봐,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",라인 플레이 – 전세계 No.1 패션 게임,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",AirBuds Popup - airpod battery app,"책꽂이+ (독서기록, 도서관리)",이지 보이스 레코더 프로,USB Audio Player PRO,Hi-Fi Status(LG)
21,Word master 워드마스터 수능 2000(개정),"편한가계부 (+음성, PC)",아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,Watch Face -WatchMaker Premium for Android Wear OS,데이그램 - 하루 한줄 일기장,어린이를 위한 그리기! 점선 따라 그리기!,Torque Pro (OBD2 / 자동차),Word master 워드마스터 수능 2000(18개정),TL Mods,Nova Launcher Prime,Nova Launcher Prime,"Star Walk 2 - 하늘지도：별자리 찾기, 스타지도, 증강 현실 천문학",Aa문라이즈™ 한국어 Flipfont,SOVS 소브스 - 구도 카메라,Flashcards Deluxe,USB Audio Player PRO,TouchRetouch,WolframAlpha
22,Tasker,Watch Face -WatchMaker Premium for Android Wear OS,Watch Face -WatchMaker Premium for Android Wear OS,MiXplorer Silver - File Manager,"비지니스 달력 2 프로 버전 ・캘린더, 스케줄러, 일정관리어플, 달력위젯",Torque Pro (OBD2 / 자동차),Aa십육살™ 한국어 Flipfont,Netflix(넷플릭스),쿠팡 (Coupang),배달의민족,V3 Mobile Plus 2.0,쿠팡 (Coupang),Torque Pro (OBD2 / 자동차),Panda Gamepad Pro (BETA),Poweramp Full Version Unlocker,구닥,Magic DosBox,"편한가계부 (+음성, PC)"
23,우와! - 화면을 깨고 동전이 나오는 마술앱!,엣지 제스처,"책꽂이+ (독서기록, 도서관리)",Torque Pro (OBD2 / 자동차),FocusTimer Pro - 공부 습관이 바뀌는 앱,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,노트 카톡테마 - 심플 카톡테마 8.0.0,"스와이프 - 세상의 모든 만남, 소개팅앱 1위!",하쿠나 라이브 -  Live 방송,"Bigo Live (비고라이브) – 라이브방송, 영상채팅",Tinder 새로운 친구를 발견해봐,Tinder 새로운 친구를 발견해봐,USB Audio Player PRO,구닥,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",@yoojinkim camera,무음무음 PRO,"책꽂이+ (독서기록, 도서관리)"
24,Watch Face -WatchMaker Premium for Android Wear OS,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",FocusTimer Pro - 공부 습관이 바뀌는 앱,USB Audio Player PRO,통화 녹음 Pro,VivaVideo PRO 비디오 편집 HD,Poweramp Full Version Unlocker,Aa십육살™ 한국어 Flipfont,AirBuds Popup - airpod battery app,데이그램 - 하루 한줄 일기장,Torque Pro (OBD2 / 자동차),USB Audio Player PRO,"편한가계부 (+음성, PC)",USB Audio Player PRO,Nova Launcher Prime,"편한가계부 (+음성, PC)","편한가계부 (+음성, PC)",심플 갤러리 Pro
25,Jump Desktop (RDP & VNC),FocusTimer Pro - 공부 습관이 바뀌는 앱,µTorrent® Pro - Torrent App,데이그램 - 하루 한줄 일기장,"동영상 플레이어 KM Pro - HD Player, 4K 비디오 플레이어, 코덱, 자막",Hi-Fi Status(LG),Tasker,일기 예보 2020 - 실시간 날씨,"네이버 지도, 내비게이션",TikTok 틱톡,터치엔 엠백신 for Web(기업용),밴드,µTorrent® Pro - Torrent App,Sleep as Android Unlock 💤수면 주기를 기록하는 스마트 알람 시계입니다,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",Torque Pro (OBD2 / 자동차),Aa어거스트™ 한국어 Flipfont,Poweramp Full Version Unlocker
26,TouchRetouch,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",Hi-Fi Status(LG),주기율표 2020 PRO - 화학,Aa십육살™ 한국어 Flipfont,Aa십육살™ 한국어 Flipfont,데이그램 - 하루 한줄 일기장,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기","스와이프 - 세상의 모든 만남, 소개팅앱 1위!",V LIVE,"LIVE스코어 - KBO, EPL, NBA 등 가장 빠른 스포츠 전종목 라이브스코어","포스텔러 - 신년운세, 무료운세, 사주, 타로, 궁합, 토정비결, 별자리, 손금, 풍수",Flashcards Deluxe,Aa십육살™ 한국어 Flipfont,@yoojinkim camera,Toca Hair Salon 3,DroidCamX Wireless Webcam Pro,구닥
27,FL Studio Mobile,Hi-Fi Status(LG),"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",통화 녹음 Pro,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어","아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",Watch Face -WatchMaker Premium for Android Wear OS,휴가중이다 시바 - 카카오톡 테마,토익 PART5 종결자,µTorrent® Pro - Torrent App,µTorrent® Pro - Torrent App,Torque Pro (OBD2 / 자동차),비밀번호 관리자 SafeInCloud Pro,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",Hi-Fi Status(LG),Flashcards Deluxe,Watch Face -WatchMaker Premium for Android Wear OS,FL Studio Mobile
28,Aa폰트의왕™ 한국어 Flipfont,어린이를 위한 그리기! 점선 따라 그리기!,USB Audio Player PRO,Poweramp Full Version Unlocker,Toca Life: Hospital,노트 카톡테마 - 심플 카톡테마 8.0.0,"지피지기 (사주,운세,궁합,토정비결,이름,해몽)",Instagram,배달의민족,Facebook,Chrome: 빠르고 안전한 브라우저,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Poweramp Full Version Unlocker,한국사능력검정시험 고급 해설집,Tasker,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어","무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",iReal Pro – 음악책 & 반주
29,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",Aa폰트의왕™ 한국어 Flipfont,Word master 워드마스터 수능 2000(개정),Word master 워드마스터 수능 2000(18개정),"책꽂이+ (독서기록, 도서관리)",Poweramp Full Version Unlocker,클라우디 필름 - 흐림 필터 완벽 구현!,"손금 보기 - 아기, 노화 및 팜 스캔","여보야 - 결혼,재혼을 위한 중매쟁이 앱","여보야 - 결혼,재혼을 위한 중매쟁이 앱","여보야 - 결혼,재혼을 위한 중매쟁이 앱","여보야 - 결혼,재혼을 위한 중매쟁이 앱",Word Master 워드마스터 중등 실력,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",Magic DosBox,Poweramp Full Version Unlocker,@yoojinkim camera,Aa십육살™ 한국어 Flipfont
30,Poweramp Full Version Unlocker,µTorrent® Pro - Torrent App,데이그램 - 하루 한줄 일기장,아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,전기기사 산업기사 실기 핵심 정리,Aa너구리굴림™ 한국어 Flipfont,20 수특+수완 단어Plus: 빈출 우선 단어 총정리,Game Booster 🔧 4x Faster (with advance settings),µTorrent® Pro - Torrent App,"무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",AirBuds Popup - airpod battery app,ACR License,"PL@Y 2 - 프리미엄 티켓북 + 포토캘린더 ( 플레이앱, PL@Y2 )",Magic DosBox,우와! 2.0 - 화면을 깨고 동전이 나오는 마술앱2,버추얼태블릿 VirtualTablet (S-Pen),심플 갤러리 Pro,TouchRetouch
31,Hi-Fi Status(LG),Word master 워드마스터 수능 2000(18개정),"케이웨더 날씨Pro(기상청 날씨, 미세먼지, 실내공기)","책꽂이+ (독서기록, 도서관리)",Torque Pro (OBD2 / 자동차),DiskDigger Pro file recovery,Hi-Fi Status(LG),"야놀자 - 국내 및 해외 호텔, 모텔, 펜션, 게하, 레저/티켓, 최대 80% 할인",T map - 내비게이션 / 지도,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),Gmail,Google TTS(텍스트 음성 변환),Magic DosBox,Nova Launcher Prime,µTorrent® Pro - Torrent App,"책꽂이+ (독서기록, 도서관리)",카라반 블루투스(BLE) 수평계,무음모드 PRO (기본 카메라 무음)
32,구닥,통화 녹음 Pro,제트오디오 플러스 - 고해상도 음원 재생 뮤직 플레이어,파리 필름 - 평범한 사진에 파리 감성을 듬뿍,"Panda Keymapper 64bit -  Gamepad,mouse,keyboard",네이버 15개국 글로벌회화 Plus-언어별 4000문장,CamScanner (License),Netflix(넷플릭스),IZ*ONE Private Mail,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",VivaVideo - 동영상 편집 어플 & 무비메이커,"너랑나랑 - 매일16명 소개팅 (소셜데이팅,연애)",Aa십육살™ 한국어 Flipfont,우리말 공부,무음모드 PRO (기본 카메라 무음),Aa어거스트™ 한국어 Flipfont,Aa정답쓰기™ 한국어 Flipfont,무음모드 (순정 무음카메라)
33,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,통화 녹음 Pro,"Panda Keymapper 64bit -  Gamepad,mouse,keyboard",USB Audio Player PRO,"책꽂이+ (독서기록, 도서관리)",Aa폰트의왕™ 한국어 Flipfont,픽테일 - Limited Edition,Torque Pro (OBD2 / 자동차),Poweramp Full Version Unlocker,Word master 워드마스터 수능 2000(18개정),Tasker,Aa너구리굴림™ 한국어 Flipfont,Hi-Fi Status(LG),Watch Face -WatchMaker Premium for Android Wear OS,심플 갤러리 Pro,구닥,Aa어거스트™ 한국어 Flipfont
34,USB Audio Player PRO,클라우디 필름 - 흐림 필터 완벽 구현!,Magic DosBox,APK Editor Pro,아날로그 필름 - 옛 향수 가득한 전문가용 사진 필터 앱!,FocusTimer Pro - 공부 습관이 바뀌는 앱,Game Booster 🔧 4x Faster (with advance settings),T map - 내비게이션 / 지도,Facebook,"Ulike유라이크 - 스타일, 고급 필터, 뷰티 카메라",Google TTS(텍스트 음성 변환),배달요기요,"Twomon SE (투몬 SE) - 휴대용 디스플레이, USB 모니터",Tasker,구닥,무음모드 (순정 무음카메라),스텔라리움 모바일 플러스 - 천체 지도,OruxMaps GP
35,2020년 토정비결 (토정비결 신년운세 2020 운세),USB Audio Player PRO,네이버 15개국 글로벌회화 Plus-언어별 4000문장,VivaVideo PRO 비디오 편집 HD,ACR License,"편한가계부 (+음성, PC)",아기 울음 알리미 (아기 수면 모니터 & 알람 & 자장가),"HiddenMe -  노화 카메라, 페이스앱",소모임 - No.1 취미모임 앱,IZ*ONE Private Mail,스코어센터 LIVE - 전 세계 스포츠 통합 라이브스코어,골드스푼 : 자격을 갖춘 남녀를 위한 안전한 소개팅,Tasker,AlpineQuest Off-Road Explorer,TouchRetouch,FL Studio Mobile,AlpineQuest Off-Road Explorer,Flashcards Deluxe
36,Torque Pro (OBD2 / 자동차),프라임 영한한영사전,"편한가계부 (+음성, PC)",영화보며 영어공부 - 배속재생 미플레이어무비프로 어학용 동영상 플레이어,구닥,JC 한국 라디오 Premium,USB Audio Player PRO,Torque Pro (OBD2 / 자동차),CamCard (명함스캐너 한글 한자 일어 동시인식),Dokk OS 2,"편한가계부 (+음성, PC)",자미두수 명반 PRO,Toca Hair Salon 3,한글 달인 - 맞춤법 공부,"PL@Y 2 - 프리미엄 티켓북 + 포토캘린더 ( 플레이앱, PL@Y2 )","무음모드Pro - 무음 카메라, 도서관 카메라, 조용히, 침묵, 무음 셔터",터치매크로-자동터치,Stellarium Mobile 하늘지도
37,Word master 워드마스터 수능 2000(18개정),데이그램 - 하루 한줄 일기장,프라임 영한한영사전,픽테일 -  PinkLady,무음모드 PRO (기본 카메라 무음),USB Audio Player PRO,Aa설렘주의™ 한국어 Flipfont,NH스마트뱅킹,타임커머스 티몬,Google Play 게임,카카오맵 - 대한민국 No.1 지도앱 ( 지도 / 내비게이션 / 대중교통 / 로드뷰 ),국세청 홈택스,프라임 영한한영사전,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",AirBuds Popup - airpod battery app,데이그램 - 하루 한줄 일기장,"아라-만화뷰어,텍스트뷰어,스캔뷰어,소설뷰어",DroidCamX Wireless Webcam Pro
38,TYPO전교일등™ 한국어 Flipfont,우와! - 화면을 깨고 동전이 나오는 마술앱!,OruxMaps GP,FocusTimer Pro - 공부 습관이 바뀌는 앱,노트 카톡테마 - 심플 카톡테마 8.0.0,TS 한글 키보드 Pro-천지인2,DiskDigger Pro file recovery,IZ*ONE Private Mail,키네마스터(KineMaster) - 동영상 편집기,소모임 - No.1 취미모임 앱,"당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기","당연시 - 당신도 연애를 시작할 때♡, 미팅/소개팅/동네 친구 찾기",우리말 공부,터치매크로-자동터치,우리말 공부,AirBuds Popup - airpod battery app,Flashcards Deluxe,Ba소복소복™ 한국어 Flipfont
